Numero_capitulo,Volumen,Nombre,Titulo_romanji,Titulo_viz,Paginas,Fecha,Episodios,Anio,Saga Argumental
443,46,Thriller Bark,Surira Baku,Thriller Bark,19,2007-02-05,2007 Issue ,2007,Saga de Thriller Bark
444,46,Adventure on Ghost Island,Gosuto Airando no Boken,Adventure on Ghost Island,19,2007-02-10,2007 Issue ,2007,Saga de Thriller Bark
445,46,The Zombie,Za Zonbi,Zombies,19,2007-02-19,2007 Issue ,2007,Saga de Thriller Bark
446,46,Doctor Hogback,Dokutoru Hogubakku,Doctor Hogback,19,2007-02-26,2007 Issue ,2007,Saga de Thriller Bark
447,46,Surprise Zombie,Bikkuri Zonbi,Zombie-in-the-Box,19,2007-03-05,2007 Issue ,2007,Saga de Thriller Bark
448,46,Moria,Moria,Moria,19,2007-03-12,2007 Issue ,2007,Saga de Thriller Bark
449,46,The Mysterious Four of Thriller Bark,Surira Baku no Yonkaijin,The Four Monsters of Thriller Bark,19,2007-03-26,2007 Issue ,2007,Saga de Thriller Bark
450,47,General Zombie Night,Jeneraru Zonbi Naito,Night of the General Zombies,19,2007-04-02,2007 Issue ,2007,Saga de Thriller Bark
451,47,Perona's Wonder Garden,Perona no Wanda Gaden,Perona's Wonder Garden,19,2007-04-09,2007 Issue ,2007,Saga de Thriller Bark
452,47,Jigor<U+03BF> of the Wind,Kaze no Jigoro,Jigoro of the Wind,19,2007-04-16,2007 Issue ,2007,Saga de Thriller Bark
453,47,"Cloudy, Partly Bony",Kumori Tokidoki Hone,"Cloudy, Partly Bony",19,2007-04-23,2007 Issue ,2007,Saga de Thriller Bark
454,47,Humming,Hanauta,The Humming Swordsman,19,2007-04-28,2007 Issue 22-,2007,Saga de Thriller Bark
455,47,Gecko Moria of the Seven Warlords of the Sea,Oka Shichibukai Gekko Moria,Gecko Moria of the Seven Warlords of the Sea,19,2007-05-14,2007 Issue ,2007,Saga de Thriller Bark
456,47,Demon from the Land of Ice,Kori no Kuni kara Kita Majin,Demon from the Land of Ice,19,2007-05-21,2007 Issue ,2007,Saga de Thriller Bark
457,47,Meeeeat!!!,Niku~~!!!,Meat!!!,17,2007-05-28,2007 Issue ,2007,Saga de Thriller Bark
458,47,Anything but My Afro,Afuro dake wa,Anything but My Afro,19,2007-06-04,2007 Issue ,2007,Saga de Thriller Bark
459,47,Being Dead Isn't an Apology,Shin de Gomen ja nai Desho ni,I Can't Just Die Hoping to be Forgiven,19,2007-06-11,2007 Issue ,2007,Saga de Thriller Bark
460,48,Get Back Before Dawn!!,Yoake Mae ni Torikaese!!,Conquest Before Dawn!!,19,2007-06-25,2007 Issue ,2007,Saga de Thriller Bark
461,48,Ghost Buster,Gosuto Basuta,Ghost Buster,19,2007-07-02,2007 Issue ,2007,Saga de Thriller Bark
462,48,Adventures of Oars,Ozu no Boken,Adventures of Oars,19,2007-07-09,2007 Issue ,2007,Saga de Thriller Bark
463,48,Pirate Sanji vs Mysterious Absalom,Kaizoku Sanji Basasu Kaijin Abusaromu,Pirate Sanji vs. Mystery Man Absalom,19,2007-07-14,2007 Issue ,2007,Saga de Thriller Bark
464,48,Sanji's Dream,Sanji no Yume,Sanji's Dream,19,2007-07-23,2007 Issue ,2007,Saga de Thriller Bark
465,48,Pirate Usopp vs Princess Perona,Kaizoku Usoppu Basasu Purinsesu Perona,Pirate Usopp vs. Mystery Woman Perona,19,2007-07-30,2007 Issue ,2007,Saga de Thriller Bark
466,48,Conclusion,Kecchaku,Conclusion,19,2007-08-06,2007 Issue 36-,2007,Saga de Thriller Bark
467,48,Pirate Zoro vs Samurai Ryuma,Kaizoku Zoro Basasu Samurai Ryuma,Pirate Zolo vs. Samurai Ryuma,19,2007-08-20,2007 Issue ,2007,Saga de Thriller Bark
468,48,Pirate Chopper vs Mysterious Hogback,Kaizoku Choppa Basasu Kaijin Hogubakku,Pirate Chopper vs. Mystery Man Hogback,19,2007-08-27,2007 Issue ,2007,Saga de Thriller Bark
469,48,"Come Out Here, Straw Hat Pirates!!!",Dete Koi Mugiwara no Ichimi!!!,"Come Out Here, Straw Hat Pirates!",19,2007-09-03,2007 Issue ,2007,Saga de Thriller Bark
470,48,Oars vs. Straw Hat Pirates,Ozu Basasu Mugiwara no Ichimi,Oars vs. Straw Hat Pirates,19,2007-09-10,2007 Issue ,2007,Saga de Thriller Bark
471,49,My Friend,Mai Furendo,My Friend,19,2007-09-22,2007 Issue ,2007,Saga de Thriller Bark
472,49,Down,Daun,Down,19,2007-10-01,2007 Issue ,2007,Saga de Thriller Bark
473,49,Warlord Bartholomew Kuma Appears,Oka Shichibukai Basoromyu Kuma Arawaru,Warlord Bartholomew Kuma Appears,19,2007-10-06,2007 Issue ,2007,Saga de Thriller Bark
474,49,We Have To Do It!,Yarushikane!!!,We Have To Do It!,19,2007-10-15,2007 Issue ,2007,Saga de Thriller Bark
475,49,Pirates of the Forest,Mori no Kaizoku-Dan,Pirates of the Forest,19,2007-10-22,2007 Issue ,2007,Saga de Thriller Bark
476,49,Nightmare Luffy,Naitomea Rufi,Nightmare Luffy,19,2007-10-29,2007 Issue ,2007,Saga de Thriller Bark
477,49,<U+215C>,<U+215C>,<U+215C>,19,2007-11-05,2007 Issue ,2007,Saga de Thriller Bark
478,49,Luffy vs. Luffy,Rufi Basasu Rufi,Luffy vs Luffy,19,2007-11-12,2007 Issue ,2007,Saga de Thriller Bark
479,49,Warrior of Hope,Kibo no Senshi,Warrior Of Hope,19,2007-11-19,2007 Issue ,2007,Saga de Thriller Bark
480,49,Interception,Geigeki,Interception,19,2007-12-03,2008 Issue,2007,Saga de Thriller Bark
481,49,Shadow's Asgard,Shadozu Asugarudo,Shadows Asgard,19,2007-12-10,2008 Issue,2007,Saga de Thriller Bark
482,50,Morning Is Coming,Asa ga Kuru,Morning Is Coming,19,2007-12-17,2008 Issue,2007,Saga de Thriller Bark
483,50,The End of The Dream,Yume no Owari,The End of The Dream,19,2007-12-25,2008 Issue 4,2007,Saga de Thriller Bark
484,50,Squish,Puni,Squish,19,2008-01-04,2008 Issue 6,2008,Saga de Thriller Bark
485,50,Straw Hat Pirates - Pirate Hunter Zoro,Mugiwara no Ichimi - Kaizoku-Gari no Zoro,Straw Hat Pirates - Pirate Hunter Zolo,19,2008-01-21,2008 Issue,2008,Saga de Thriller Bark
486,50,Piano,Piano,Piano,19,2008-01-28,2008 Issue,2008,Saga de Thriller Bark
487,50,That Song,Ano Uta,That Song,19,2008-02-04,2008 Issue ,2008,Saga de Thriller Bark
488,50,Song of Life,Inochi no Uta,Song of Love,19,2008-02-09,2008 Issue ,2008,Saga de Thriller Bark
489,50,The Eighth,Hachininme,Eighth Person,19,2008-02-25,2008 Issue ,2008,Saga de la Guerra en la Cumbre
490,50,Arriving Again,Futatabi Tadoritsuku,Arriving Again,19,2008-03-03,2008 Issue ,2008,Saga de la Guerra en la Cumbre
491,50,Flying Fish Riders,Tobiuo Raidazu,Flying Fish Riders,19,2008-03-10,2008 Issue ,2008,Saga de la Guerra en la Cumbre
492,51,Iron Mask Duval,Tetsu Kamen no Dyubaru,Iron Mask Duval,19,2008-03-17,2008 Issue ,2008,Saga de la Guerra en la Cumbre
493,51,You Know Me,Shitteru,You Know Me,19,2008-03-24,2008 Issue ,2008,Saga de la Guerra en la Cumbre
494,51,Duval's Tragedy,Dyubaru no Higeki,Duval's Tragedy,19,2008-03-31,2008 Issue ,2008,Saga de la Guerra en la Cumbre
495,51,Gaon Cannon,Gaon Ho,Gaon Cannon,19,2008-04-07,2008 Issue ,2008,Saga de la Guerra en la Cumbre
496,51,Yarukiman Mangrove,Yarukiman Mangurobu,Yarukiman Mangrove,19,2008-04-14,2008 Issue ,2008,Saga de la Guerra en la Cumbre
497,51,Adventure on the Archipelago of Dancing Soap Bubbles,Shabon Mau Shoto no Boken,Adventure on the Archipelago of Dancing Soap Bubbles,19,2008-04-21,2008 Issue ,2008,Saga de la Guerra en la Cumbre
498,51,The Eleven Supernovas,Juichinin no Choshinsei,The Eleven Supernovas,19,2008-04-28,2008 Issue 22-,2008,Saga de la Guerra en la Cumbre
499,51,Sabaody Park,Shabondi Paku,Sabaody Park,19,2008-05-19,2008 Issue ,2008,Saga de la Guerra en la Cumbre
500,51,The Embers of History,Rekishi no Nokoribi,The Embers of History,19,2008-05-26,2008 Issue ,2008,Saga de la Guerra en la Cumbre
501,51,The World Begins to Swell,Uneri Hajimeru Sekai,The World Begins to Swell,19,2008-06-02,2008 Issue ,2008,Saga de la Guerra en la Cumbre
502,51,The Incident of the Celestial Dragons,Tenryubito no Ikken,The Incident of the Celestial Dragons,19,2008-06-09,2008 Issue ,2008,Saga de la Guerra en la Cumbre
503,52,Aggravated Island,Aradatsu Shima,Aggravated Island,19,2008-06-16,2008 Issue ,2008,Saga de la Guerra en la Cumbre
504,52,Pirate Front Line on the Move!!,Kaizoku Zensen Idochu!!,Pirate Front Line on the Move!!,19,2008-06-23,2008 Issue ,2008,Saga de la Guerra en la Cumbre
505,52,Kuma,Kuma,Kuma,19,2008-06-30,2008 Issue ,2008,Saga de la Guerra en la Cumbre
506,52,Roger and Rayleigh,Roja to Reiri,Roger and Rayleigh,19,2008-07-07,2008 Issue ,2008,Saga de la Guerra en la Cumbre
507,52,Kizaru Arrives,Kizaru Joriku,Kizaru Arrives,19,2008-07-19,2008 Issue ,2008,Saga de la Guerra en la Cumbre
508,52,Island of Carnage,Shura no Shima,Island of Carnage,19,2008-07-28,2008 Issue ,2008,Saga de la Guerra en la Cumbre
509,52,Kizaru vs. Four Captains,Kizaru Basasu Yonin no Sencho,Kizaru vs. Four Captains,19,2008-08-04,2008 Issue ,2008,Saga de la Guerra en la Cumbre
510,52,Straw Hat Crew vs. Combat Weapon,Mugiwara no Ichimi Basasu Sento Heiki,Straw Hat Pirates vs. War Machine,19,2008-08-11,2008 Issue 37-,2008,Saga de la Guerra en la Cumbre
511,52,Axe-Carrying Sentomaru,Masakari Katsuida Sentomaru,Axe-Carrying Sentomaru,19,2008-08-25,2008 Issue ,2008,Saga de la Guerra en la Cumbre
512,52,"Zoro, Gone","Zoro, Otosata nashi","Zolo, Gone",19,2008-09-01,2008 Issue ,2008,Saga de la Guerra en la Cumbre
513,53,Beyond Rescue!!!,Sukuenai!!!,Beyond Rescue!!!,19,2008-09-08,2008 Issue ,2008,Saga de la Guerra en la Cumbre
514,53,Mushrooms-Grow-From-the-Body Mushroom,Karada-kara-Kinoko-ga-Haeru Dake,Body Parasite Mushrooms,19,2008-09-13,2008 Issue ,2008,Saga de la Guerra en la Cumbre
515,53,Adventure on the Island of Women,Nyogashima no Boken,Adventure on the Island of Women,19,2008-09-22,2008 Issue ,2008,Saga de la Guerra en la Cumbre
516,53,Pirate Empress Boa Hancock,Kaizoku Jotei Boa Hankokku,Pirate Empress Boa Hancock,17,2008-09-29,2008 Issue ,2008,Saga de la Guerra en la Cumbre
517,53,Bathing,Yuami,Bath Time,19,2008-10-06,2008 Issue ,2008,Saga de la Guerra en la Cumbre
518,53,The Arena,Togidai,Coliseum,19,2008-10-11,2008 Issue ,2008,Saga de la Guerra en la Cumbre
519,53,A King's Disposition,O no Shishitsu,Natural Born King,19,2008-10-27,2008 Issue ,2008,Saga de la Guerra en la Cumbre
520,53,Eye of the Gorgon,Gorugon no Me,Eye of the Gorgon,19,2008-11-01,2008 Issue ,2008,Saga de la Guerra en la Cumbre
521,53,Hoof of the Celestial Dragon,Amakakeru Ryu no Hizume,Hoof of the Celestial Dragon,19,2008-11-10,2008 Issue ,2008,Saga de la Guerra en la Cumbre
522,53,Fatal Illness,Shi ni Itaru Yamai,Fatal Illness,19,2008-11-17,2008 Issue ,2008,Saga de la Guerra en la Cumbre
523,54,Hell,Jigoku,Hell,19,2008-11-22,2008 Issue ,2008,Saga de la Guerra en la Cumbre
524,54,No One Can Stop This Now,Mo Darenimo Tomerarenai,Unstoppable,19,2008-12-01,2009 Issue,2008,Saga de la Guerra en la Cumbre
525,54,The Underwater Prison Impel Down,Kaitei Kangoku Inperu Daun,The Underwater Prison Impel Down,19,2008-12-08,2009 Issue,2008,Saga de la Guerra en la Cumbre
526,54,Adventure in the Great Prison,Daikangoku no Boken,Adventure in the Great Prison,19,2008-12-22,2009 Issue 4,2008,Saga de la Guerra en la Cumbre
527,54,Level 1 Crimson Hell,Reberu Wan Guren Jigoku,Level 1: Crimson Hell,19,2009-01-05,2009 Issue 6,2009,Saga de la Guerra en la Cumbre
528,54,"Jinbe, Knight of the Sea",Kaikyo no Jinbe,"Jimbei, First Son of the Sea",19,2009-01-19,2009 Issue,2009,Saga de la Guerra en la Cumbre
529,54,Level 2 Wild Beast Hell,Reberu Tsu Moju Jigoku,Level 2: Beast Hell,19,2009-01-26,2009 Issue,2009,Saga de la Guerra en la Cumbre
530,54,From One Hell to Another,Jigoku-e Jigoku-e,From One Hell to Another,19,2009-02-02,2009 Issue ,2009,Saga de la Guerra en la Cumbre
531,54,Level 3 Starvation Hell,Reberu Suri Kiga Jigoku,Level 3: Starvation Hell,19,2009-02-09,2009 Issue ,2009,Saga de la Guerra en la Cumbre
532,54,Jailer Beast Minotaurus,Gokusotsuju Minotaurosu,Jailer Beast Minotaur,19,2009-02-16,2009 Issue ,2009,Saga de la Guerra en la Cumbre
533,55,Level 4 Inferno Hell,Reberu Fo Shonetsu Jigoku,Level 4: Inferno Hell,19,2009-02-23,2009 Issue ,2009,Saga de la Guerra en la Cumbre
534,55,Chief Warden Magellan vs. Pirate Luffy,Kangoku Shocho Mazeran Basasu Kaizoku Rufi,Warden Magellan vs. Pirate Luffy,19,2009-03-09,2009 Issue ,2009,Saga de la Guerra en la Cumbre
535,55,Friend,Dachi,Friend,19,2009-03-16,2009 Issue ,2009,Saga de la Guerra en la Cumbre
536,55,Level 5 Frozen Hell,Reberu Faibu Gokkan Jigoku,Level 5: Frozen Hell,19,2009-03-23,2009 Issue ,2009,Saga de la Guerra en la Cumbre
537,55,Okama in Hell,Jigoku ni Okama,A Ray of Hope,19,2009-03-30,2009 Issue ,2009,Saga de la Guerra en la Cumbre
538,55,Level 5.5 Newkama Land,Reberu Go ten Go Banchi Nyukama Rando,Level 5.5 New Kama Land,19,2009-04-06,2009 Issue ,2009,Saga de la Guerra en la Cumbre
539,55,Emporio Tension Hormone,Enporio Tenshon Horumon,Emporio Energy Synthesis,19,2009-04-13,2009 Issue ,2009,Saga de la Guerra en la Cumbre
540,55,Level 6 Eternal Hell,Reberu Shikkusu Mugen Jigoku,Level 6: Infinite Hell,19,2009-04-27,2009 Issue 22-,2009,Saga de la Guerra en la Cumbre
541,55,The Likes of Which It Has Never Seen,Imada Katsute Nasshiburu,The Greatest Ever,19,2009-05-11,2009 Issue ,2009,Saga de la Guerra en la Cumbre
542,56,Another Incident to Be Told,Yagate Katarareru Mou Hitotsu no Jiken,Yet Another Epic Incident,19,2009-05-18,2009 Issue ,2009,Saga de la Guerra en la Cumbre
543,56,Straw Hat and Blackbeard,Mugiwara to Kurohige,Straw Hat and Blackbeard,19,2009-05-25,2009 Issue ,2009,Saga de la Guerra en la Cumbre
544,56,The Lid to the Cauldron of Hell Opens,Jigoku no Kama no Futa mo Aku,The Lid to the Cauldron of Hell Opens,19,2009-06-01,2009 Issue ,2009,Saga de la Guerra en la Cumbre
545,56,To the Sunshine in Outside World,Hi no Ataru Shaba-e,To Sunshine and Freedom,19,2009-06-08,2009 Issue ,2009,Saga de la Guerra en la Cumbre
546,56,"Fish-Man Pirate Captain Jinbe, Warlord of the Sea","Gyojin Kaizoku-dan Sencho ""Shichibukai"" Jinbe","Fish-Man Pirate Captain Jimbei, Warlord of the Sea",17,2009-06-15,2009 Issue ,2009,Saga de la Guerra en la Cumbre
547,56,Escaping the Island,Shimayaburi,Island Ripper,19,2009-06-22,2009 Issue ,2009,Saga de la Guerra en la Cumbre
548,56,Thank You,Arigato,Thank You,19,2009-06-29,2009 Issue ,2009,Saga de la Guerra en la Cumbre
549,56,Ship Sailing Forth,Shutsugeki no Fune,Battleship,19,2009-07-06,2009 Issue ,2009,Saga de la Guerra en la Cumbre
550,56,Marine Headquarters,Kaigun Honbu,Navy Headquarters,19,2009-07-18,2009 Issue ,2009,Saga de la Guerra en la Cumbre
551,56,Whitebeard of the Four Emperors,"Yonko ""Shirohige""",Whitebeard of the Four Emperors,19,2009-07-27,2009 Issue ,2009,Saga de la Guerra en la Cumbre
552,57,Ace and Whitebeard,Esu to Shirohige,Ace and Whitebeard,19,2009-08-03,2009 Issue ,2009,Saga de la Guerra en la Cumbre
553,57,Summit Battle,Chojo Kessen,Summit Battle,17,2009-08-10,2009 Issue 37-,2009,Saga de la Guerra en la Cumbre
554,57,Admiral Akainu,Taisho Akainu,Admiral Akainu,15,2009-08-24,2009 Issue ,2009,Saga de la Guerra en la Cumbre
555,57,Oars and the Kasa,Ozu to kasa,Oars and the Hat,19,2009-08-31,2009 Issue ,2009,Saga de la Guerra en la Cumbre
556,57,Justice Will Prevail!!,Seigi wa Katsu!!,Justice Will Prevail!,17,2009-09-07,2009 Issue ,2009,Saga de la Guerra en la Cumbre
557,57,Luffy and Whitebeard,Rufi to Shirohige,Luffy and Whitebeard,17,2009-09-19,2009 Issue ,2009,Saga de la Guerra en la Cumbre
558,57,Little Brother,Ototo,Little Brother,17,2009-09-28,2009 Issue ,2009,Saga de la Guerra en la Cumbre
559,57,Destiny,Tenmei,Destiny,17,2009-10-05,2009 Issue ,2009,Saga de la Guerra en la Cumbre
560,57,Prisoners of Impel Down,Inperu Daun no Shujin-tachi,Prisoners of Impel Down,17,2009-10-10,2009 Issue ,2009,Saga de la Guerra en la Cumbre
561,57,Luffy vs. Mihawk,Rufi Basasu Mihoku,Luffy vs. Mihawk,17,2009-10-26,2009 Issue ,2009,Saga de la Guerra en la Cumbre
562,57,Pirate Maelstrom Spider Squard,Kaizoku O Uzu Gumo Sukuado,Whirl Spider Squard,17,2009-11-02,2009 Issue ,2009,Saga de la Guerra en la Cumbre
563,58,"One Heart, One Man",Shinzo Hitotsu Ningen Hitori,"One Man, One Heart",17,2009-11-09,2009 Issue ,2009,Saga de la Guerra en la Cumbre
564,58,The Man Who Shook the World,Sekai o yurasu otoko,The Man Who Shook The World,17,2009-11-21,2009 Issue ,2009,Saga de la Guerra en la Cumbre
565,58,Oars' Path,Ozu no Michi,Oars' Path,17,2009-11-30,2009 Issue ,2009,Saga de la Guerra en la Cumbre
566,58,Raid,Moko,Raid,19,2009-12-07,2010 Issue,2009,Saga de la Guerra en la Cumbre
567,58,Marineford Marine Headquarters - Oris Plaza,Marinfodo Kaigun Honbu Orisu Hiroba,Marineford Navy Headquarters - Oris Plaza,19,2009-12-14,2010 Issue,2009,Saga de la Guerra en la Cumbre
568,58,Have It Your Way!,Katteni Shiyagare,Have It Your Way!,15,2009-12-21,2010 Issue 3,2009,Saga de la Guerra en la Cumbre
569,58,White Monster,Shiroi Kaibutsu,White Monster,15,2010-01-04,2010 Issue 5,2010,Saga de la Guerra en la Cumbre
570,58,The Bridge of Life,Inochi no Kakehashi,The Bridge of Life,15,2010-01-18,2010 Issue,2010,Saga de la Guerra en la Cumbre
571,58,The Execution Platform,Shokeidai,The Execution Platform,17,2010-01-25,2010 Issue,2010,Saga de la Guerra en la Cumbre
572,58,The Times They Are A-Changin',Za Taimuzu Zei A E-Chenjin -Jidai wa Kawaru-,The Times They Are A'Changin,17,2010-02-01,2010 Issue,2010,Saga de la Guerra en la Cumbre
573,58,"The Name of This Era is ""Whitebeard""","Kono Jidai no Na o ""Shirohige"" to Yobu","The Name of This Era is ""Whitebeard""",17,2010-02-08,2010 Issue ,2010,Saga de la Guerra en la Cumbre
574,59,Portgas D. Ace Dies,Potogasu Di Esu Shisu,The Death of Portgaz D. Ace,17,2010-02-15,2010 Issue ,2010,Saga de la Guerra en la Cumbre
575,59,Voiceless Rage,Kotoba Naki Ikari,Voiceless Rage,15,2010-02-22,2010 Issue ,2010,Saga de la Guerra en la Cumbre
576,59,The Great Pirate Edward Newgate,Daikaizoku Edowado Nyugeto,The Great Pirate Edward Newgate,17,2010-03-08,2010 Issue ,2010,Saga de la Guerra en la Cumbre
577,59,Outrageous Events One After Another,Tatamikakeru Daijiken,Outrageous Events One After Another,17,2010-03-15,2010 Issue ,2010,Saga de la Guerra en la Cumbre
578,59,A Gift for the New Era,Shinjidai e Okuru Mono,A Gift for the New Era,19,2010-03-20,2010 Issue ,2010,Saga de la Guerra en la Cumbre
579,59,Seconds of Courage,Yuki Aru Subyo,A Few Seconds of Courage,17,2010-03-29,2010 Issue ,2010,Saga de la Guerra en la Cumbre
580,59,The War's Conclusion,Shusen,The War's Conclusion,15,2010-04-05,2010 Issue ,2010,Saga de la Guerra en la Cumbre
581,59,Creeping Future,Shinobiyoru Mirai,Creeping Future,17,2010-04-19,2010 Issue ,2010,Saga de la Guerra en la Cumbre
582,59,Luffy and Ace,Rufi to Esu,Luffy and Ace,19,2010-04-26,2010 Issue 21-,2010,Saga de la Guerra en la Cumbre
583,59,Gray Terminal - The Final Destination of the Uncertainty,Futashikana Mono no Shuchakueki (Gurei Taminaru),Gray Terminal,17,2010-05-10,2010 Issue ,2010,Saga de la Guerra en la Cumbre
584,59,Incident With Porchemy,Porushemi no Ikken,Incident With Porchemy,17,2010-05-17,2010 Issue ,2010,Saga de la Guerra en la Cumbre
585,60,Brothers' Sake Cups,Kyodai Sakazuki,Brotherly Pact,19,2010-05-24,2010 Issue ,2010,Saga de la Guerra en la Cumbre
586,60,City of Stench,Akushu no Suru Machi,City of Stench,19,2010-05-31,2010 Issue ,2010,Saga de la Guerra en la Cumbre
587,60,I Will Not Run Away,Ore wa Nigenai,I Will Never Run Away,19,2010-06-07,2010 Issue ,2010,Saga de la Guerra en la Cumbre
588,60,Sabo's Ocean,Sabo no Umi,Sabo's Ocean,19,2010-06-14,2010 Issue ,2010,Saga de la Guerra en la Cumbre
589,60,Will of the Winds,Fuun no Kokorozashi,Will of the Winds,19,2010-06-28,2010 Issue ,2010,Saga de la Guerra en la Cumbre
590,60,My Little Brother,Ototo yo,My Little Brother,19,2010-07-05,2010 Issue ,2010,Saga de la Guerra en la Cumbre
591,60,Are You Sure About That?,Sore de Iinoka,Are You Sure About That?,19,2010-07-12,2010 Issue ,2010,Saga de la Guerra en la Cumbre
592,60,Yell,Eru,Cheer,19,2010-07-17,2010 Issue ,2010,Saga de la Guerra en la Cumbre
593,60,NEWS,Nyusu,News,19,2010-07-26,2010 Issue ,2010,Saga de la Guerra en la Cumbre
594,60,Message,Messeji,Message,19,2010-08-02,2010 Issue ,2010,Saga de la Guerra en la Cumbre
595,61,The Pledge,Sensei,The Pledge,19,2010-08-09,2010 Issue 36-,2010,Saga de la Guerra en la Cumbre
596,61,SPECTRUM,Supekutoru,Spectrum,19,2010-08-23,2010 Issue ,2010,Saga de la Guerra en la Cumbre
597,61,3D2Y,Suri-Di Tsu-Wai,3D2Y,19,2010-08-30,2010 Issue ,2010,Saga de la Guerra en la Cumbre
598,61,2 Years Later,Ninen-go,Two Years Later,24,2010-10-04,2010 Issue ,2010,Saga de la isla Gyojin
599,61,Nine Pirates,Kyunin no Kaizoku,Nine Pirates,19,2010-10-09,2010 Issue ,2010,Saga de la isla Gyojin
600,61,Island of New Beginnings,Saishuppatsu no Shima,Island of New Beginnings,19,2010-10-18,2010 Issue ,2010,Saga de la isla Gyojin
601,61,Romance Dawn For the New World:The Dawn of an Adventureinto a New World,Romansu Don fo za nyu warudo: Atarashii Sekai e no Boken no Yoake,Romance Dawn For The New World,19,2010-10-25,2010 Issue ,2010,Saga de la isla Gyojin
602,61,Downward Ho!!,Shimokaji Ippai!!,Downward Ho!,17,2010-11-01,2010 Issue ,2010,Saga de la isla Gyojin
603,61,Keep It In Your Heart,Kokoro ni Tometeoke,Keep That In Mind,17,2010-11-08,2010 Issue ,2010,Saga de la isla Gyojin
604,62,Into the Depths,Shinso e,To The Deep Sea,19,2010-11-15,2010 Issue ,2010,Saga de la isla Gyojin
605,62,The Kraken and the Pirates,Kuraken to Kaizoku,The Kraken and the Pirates,19,2010-11-29,2010 Issue ,2010,Saga de la isla Gyojin
606,62,Deep Sea Adventure,Shinkai no Boken,Deep Sea Adventure,17,2010-12-06,2011 Issue,2010,Saga de la isla Gyojin
607,62,"10,000 Meters Under the Sea",Kaitei Ichiman Metoru,"30,000 Feet Under the Sea",17,2010-12-13,2011 Issue,2010,Saga de la isla Gyojin
608,62,Underwater Paradise,Kaitei no Rakuen,Underwater Paradise,17,2010-12-20,2011 Issue 3,2010,Saga de la isla Gyojin
609,62,Adventure on Fish-Man Island,Gyojinto no Boken,Adventure On Fish-Man Island,19,2011-01-04,2011 Issue 5,2011,Saga de la isla Gyojin
610,62,"Madam Shyarly, Fortune-Teller",Uranaishi Madamu Shari,"Madam Sharley, Fortune-Teller",15,2011-01-17,2011 Issue,2011,Saga de la isla Gyojin
611,62,Hody Jones,Hodi Jonzu,Hody Jones,17,2011-01-24,2011 Issue,2011,Saga de la isla Gyojin
612,62,Taken by the Shark They Saved,Tasuketa Same ni Tsurerarete,Taken by the Shark They Saved,19,2011-01-31,2011 Issue,2011,Saga de la isla Gyojin
613,62,The Mermaid Princessin Hard-Shell Tower,Kokakuto no Ningyo Hime,Mermaid Princess of Shell Tower,17,2011-02-07,2011 Issue ,2011,Saga de la isla Gyojin
614,62,What's Done is Done,Yatchimatta Mon wa Shogane,Too Late Now,17,2011-02-14,2011 Issue ,2011,Saga de la isla Gyojin
615,63,Mato Mato Curse,Mato Mato no Noroi,Mark-Mark Curse,17,2011-02-21,2011 Issue ,2011,Saga de la isla Gyojin
616,63,Anniversary for Revenge,Fukushu no Kinenbi,Anniversary for Revenge,17,2011-02-28,2011 Issue ,2011,Saga de la isla Gyojin
617,63,Major Incident on Coral Hill,Sangogaoka de Daijiken,Incident at Coral Hill,17,2011-03-14,2011 Issue ,2011,Saga de la isla Gyojin
618,63,Proposal,Puropozu,Proposal,19,2011-03-19,2011 Issue ,2011,Saga de la isla Gyojin
619,63,At the Sea Forest,Umi no Mori nite,At the Forest of the Sea,17,2011-04-04,2011 Issue ,2011,Saga de la isla Gyojin
620,63,The Longed-For Amusement Park,Akogare no Yuenchi,The Wonderful Amusement Park,17,2011-04-11,2011 Issue ,2011,Saga de la isla Gyojin
621,63,Otohime and Tiger,Otohime to Taiga,Otohime and Tiger,17,2011-04-18,2011 Issue ,2011,Saga de la isla Gyojin
622,63,The Sun Pirates,Taiyo no Kaizoku-dan,The Sun Pirates,19,2011-04-25,2011 Issue 20-,2011,Saga de la isla Gyojin
623,63,Fisher Tiger the Pirate,Kaizoku Fissha Taiga,Fisher Tiger the Pirate,19,2011-05-09,2011 Issue ,2011,Saga de la isla Gyojin
624,63,Queen Otohime,Otohime Ohi,Queen Otohime,17,2011-05-16,2011 Issue ,2011,Saga de la isla Gyojin
625,63,Uninherited Will,Uketsuganai Ishi,Uninherited Will,19,2011-05-23,2011 Issue ,2011,Saga de la isla Gyojin
626,63,The Three Neptune Brothers,Nepuchun San Kyodai,Neptune Brothers,19,2011-05-30,2011 Issue ,2011,Saga de la isla Gyojin
627,64,You Have My Gratitude,Katajikenai,Thank You,19,2011-06-06,2011 Issue ,2011,Saga de la isla Gyojin
628,64,Spring Cleaning,Osoji,Spring Cleaning,19,2011-06-20,2011 Issue ,2011,Saga de la isla Gyojin
629,64,Former Warlord in the Way,Tachifusagaru Moto Shichibukai,Former Warlord in the Way,19,2011-06-27,2011 Issue ,2011,Saga de la isla Gyojin
630,64,Getting Violent,Abaredasu,Getting Violent,19,2011-07-04,2011 Issue ,2011,Saga de la isla Gyojin
631,64,Gyoncorde Plaza,Gyonkorudo Hiroba,Conchcorde Plaza,19,2011-07-11,2011 Issue ,2011,Saga de la isla Gyojin
